review,target
"This is the first out of the Guinea Pig series, and is one of the more infamous films out of the collection.<br /><br />It took me a long time to finally man up and get my hands on a copy of this notorious group of films. I bought the Guinea Pig Box Set and decided to watch the collection in order by release date. So I popped this sucker in and sat down.<br /><br />From what I had read on the internet, and realizing the content involved in this film, I was expecting to test my nerves in full force. This ended up not being the case.<br /><br />The film focuses on a group of men who kidnap a woman and begin torturing her with the hopes of discovering the human breaking point, and how long a human can tolerate pain.<br /><br />Sounds like one sick flick right? Wrong. The film fails to shock. This may be because I have become desensitized over the years do to my obsession with horror, but I think it is safe to say that any true gorehound could sit through this with ease.<br /><br />On the other hand an individual who does not have a well knowledge of this type of film will most likely be overwhelmed and disgusted by the images they see on the screen. Though it failed to shock me the film contains some pretty mean spirited and graphic scenes of violence. Including the ripping out of fingernails, intestines thrown at an unconscious woman, and a needle through the eye.<br /><br />Overall I think for majority of the gorehounds on this board that you should just get your hands on a copy of this film for the novelty of it, but I suggest that for any new comers to these type of films that you should work your way up to this one.",1
"A pretty average scifi film. The plot was more or less obvious from the start. Although the acting was reasonably good, the writing seemed very cliched, using ideas taken from numerous films.<br /><br />The basic plot: Scientists working on a deep space research platform rescue a fighter from crashing into the red dwarf that they have been orbitting. Onboard they find a stasis pod, which coincidently malfunctions at that very moment. After 2 or 3 minutes of the man in the pod waking up, you realise that he is a complete lunatic. Something which totally escapes the 3 person crew of the research ship...<br /><br />After that it becomes a rip off every other film involving a psychotic madman terrorising innocent victims, overall I think Speed 2 was a better exploration of the subject matter, which I didn't consider to be a good film either.<br /><br />Not a good film, get Aliens out and watch that again.<br /><br />",0
"This movie is spoofed in an episode of Mystery Science Theater 3000. I think MST3K was at its best when they ripped this movie.<br /><br />Terrible acting, bad makeup, poor effects, chick in skimpy (1960's)underwear. I give it a 2.<br /><br />The villain is hard to understand due to the makeup. The assistant says things like 'not you' that sound like NACHOO!! (think sneezing). It's just poor oration. The long eyebrows are hilarious on one of the characters. <br /><br />I still don't know what 'The Projected Man' means in terms of the plot. I missed some of the beginning though. <br /><br />What is up with this 10 line minimum on posting??",0
"I was so surprised when I saw this film so much underrated... I understand why some of you dislike this movie. Its pace is slow, a characteristic of Japanese films. Nevertheless, if you are absorbed in the film like me, you will find this not a problem at all.<br /><br />I must say this is the best comedy I have ever seen. ""Shall We Dansu?"" is often considered a masterpiece of Japanese comedies. It is very different from Hollywood ones, e.g. Austin Powers or Scary Movies, in which a gag is guaranteed in every couple of minutes. Rather, it is light-hearted, a movie that makes you feel good.<br /><br />I love the movie because it makes me feel ""real"". The plot is straightforward yet pleasing. I was so delighted seeing that Sugiyama (the main role) has found the meaning of life in dancing. Before I watched the film I was slightly depressed due to heavy schoolwork. I felt lost. However, this film made me think of the bright side of life. I believed I was in the same boat of Sugiyama; if he could find himself in his hobby, why couldn't I? It reminded me of ""exploring my own future"" and discovering the happiness in my daily life.<br /><br />It is important to note that the actors are not professional dancers. While some of you may find the dancing scenes not as perfect as you expect, I kinda like it as it makes me feel that the characters are really ""alive"", learning to dance as the film goes on.<br /><br />Over all, this film is encouraging and heart-warming. As a comedy, it does its job perfectly. It definitely deserves 10 stars.<br /><br />And yes Aoki is funny :-D",1
"I saw this in Detroit in what must have been its original run. I literally rolled into the aisle of the theater. It was that funny. I haven't seen it since, but would love to. Where do you get a copy? Anybody saying anything about it being dated or overdone are, for my money, just a bunch of poseurs. Each skit is either wickedly, erotically or perversely hilarious. Each one! There is not a weak one included. The opening sequence, for instance, which parodies 2001, features gorilla go-go-dancers with pendulous breasts. Felinni would have filmed it had he the wicked wit... If you come to this film with an open mind and a blithely sneering heart, you'll pencil it right into your very best list.",1
"Thre isn't a single Scorsese movie I'd place on a list of my favorite movies. But this is the best thing I've run through my DVD player in about five years. Scorsese's patient elucidation of favorite film moments, and how Hollywood works is incredibly gracious, calm and intelligent. <br /><br />It's 3 DVD-sides worth of material. It would have to be a British production, since everything about American corporate culture would have trampled the quiet, methodical, no frills, put-the-focus-on-the-content approach that is taken here. And an American production would have demanded he say he liked only movies that were popular favorites. I wish everyone took a page from his love of movies. You should love the movies you do for personal, idiosyncratic and specific reasons. Not just more ""Me-too"" votes for The Godfather, etc.. People have no clue what ideas are being explored in their favorite movies. If they did, movies would be more interesting than they are. Scorsese DOES know what ideas are being explored, and that makes him a compelling, involved speaker on the topic. I really appreciate his articulate, generous interviews over the last decade.<br /><br />On a negative note, Scorsese is best when he's excited to show you some obscure movie, rather than when he's didactically teaching you something well-established about film history. And I do wish he pluck those three hairs out of the bridge of his nose. It's very distracting.",1
"I thought this movie was very well done. Taking place in the mid 1950's, everything looked accurate to me. It was well cast and believable. I don't usually care much for this type of movie, because they just don't have any depth, but I felt this movie delved in to the characters and you could feel how they felt, you got to really know them and care about them. It did take me back to my youth and let me reminiscent about a more innocent time. This movie could be enjoyed by both male and female and by all age groups. After the movie was over I wished there was a part two. I wanted to know what happened to Dani and her family. This movie is bound to be a classic. If you haven't seen it you should try to catch it when it is on TV or rent it...",1
"It's unlikely that anyone except those who adore silent films will appreciate any of the lyrical camera-work and busy (but scratchy) background score that accompanies this 1933 release. Although sound came into general use in 1928, there are no more than fifty words spoken to tell the story of a woman, unhappily married, who deserts her husband for a younger man after a romantic interlude in the woods.<br /><br />The most vividly photographed scene has the jealous husband giving a lift to the young man for a ride into town, proceeding to drive normally until he realizes the man is his wife's lover. In a frenzy of jealousy, he drives at top speed toward a railroad crossing but changes his mind at the last moment, losing his nerve. It's probably the most tension-filled scene in the otherwise decidedly slow-moving and obviously contrived story.<br /><br />HEDY LAMARR is given the sort of close-up treatment lavished on Marlene Dietrich by her discoverer, but her beauty had not yet been refined by the cosmeticians as they were when she was transported to Hollywood. Her performance consists mostly of looking sad and morose while mourning the loss of her marriage with only brief glimpses of a smile when she finds her true love (ARIBERT MOG), the handsome young stud who retrieves her clothes after a nude swim.<br /><br />The swimming scene is very brief, discreetly photographed, and not worth all the heat it apparently generated. The love-making scene, later on, is also artfully photographed with the sort of lyrical photography evident throughout most of the film--artfully so. More is left to the imagination with the use of symbolism--and this is the sort of thing that has others proclaiming the film is some kind of lyrical masterpiece.<br /><br />Not so. It's disappointing, primitively crude in its sound portions (including the laborious symphonic music in the background) and certainly Miss Lamarr is fortunate that Louis B. Mayer saw the film and on the basis of it, gave her a career in Hollywood. He must have seen something in her work that I didn't.<br /><br />It's apparent that this was conceived as a silent film with the camera doing all the work. The jarring ""workers"" scene at the conclusion goes on for too long and is a jarring intrusion where none is needed. It fails to end the film on the proper note.",0
"Given the history of the director of this movie, it is hard to believe that this was such a painfully bad movie to sit through. I was at the European premiere last night and one of the Executive Producers was there. He was yet to see the movie and, boy, was he in for a surprise. I have not read the book that this is based upon, nor do I know if it highly rated or appreciated, but I have read ""Captain Correlli's Mandolin"" and given how poorly that was adapted for screen and how bad this movie was, I can only presume that something similar has happened here. The acting wasn't bad albeit that there were a couple-too-many raised eyebrows from Farrell. Honestly, I can't believed how little I cared for any character in this movie. Situations play out on the screen in an empty sequence of nothingness. Donald Sutherland's part comprises a few scenes where he opens a door, says something and closes it again. I kept looking at my watch when I wasn't cringing at the dialogue on the screen. I have never walked out on a movie but I was tempted to start during this. I gave this movie a score of '2' for reasons which seem horrendously shallow to me but these are the best things that I can say about this movie. The first is that I really enjoyed the all-too-short earthquake scene and the second is that Salma Hayek got naked and looked beautiful. I can say little else positive about this movie. Don't ask the dust anything, it can't talk!",0
"I found The FBI Story considerably entertaining and suitably upbeat for my New Years Day holiday viewing. Its drama and action-packed episodes were thrilling. The Hardesty character was well drawn and admirable. Overall the photography, script and direction was perfectly creditable. Rather than taking the film to be a repugnant piece of propaganda, as some might, I enjoyed it as a well mounted portrayal of the necessity of ingenious minds and brave bodies in the fight against crime. Again, the depiction of a family holding together even under the strain of the husband's commitment to his (arguably) important work, I did not find to be a twee representation but an ideal and exemplary one.",1
